Engine_ID,Predicted_RUL,Actual_RUL,Alert
0,83.460785,78,NO
1,161.37991,166,NO
2,166.8671,132,NO
3,170.94803,178,NO
4,82.97416,76,NO
5,78.06654,88,NO
6,42.727318,40,NO
7,140.03232,126,NO
8,12.568573,21,YES
9,36.395275,39,NO
10,81.22853,64,NO
11,71.49969,49,NO
12,33.00159,37,NO
13,57.7711,48,NO
14,169.35606,229,NO
15,98.05142,90,NO
16,3.8662965,9,YES
17,171.42345,152,NO
18,171.46684,187,NO
19,161.77203,123,NO
20,170.13806,230,NO
21,42.712666,56,NO
22,13.164369,13,YES
23,43.15237,60,NO
24,35.076797,53,NO
25,168.86606,192,NO
26,51.17448,48,NO
27,59.125843,63,NO
28,77.62788,92,NO
29,102.60186,97,NO
30,43.825928,44,NO
31,100.84923,101,NO
32,58.999355,52,NO
33,152.79004,101,NO
34,92.096886,78,NO
35,15.496248,20,YES
36,168.81335,162,NO
37,70.572174,56,NO
38,111.49308,68,NO
39,43.352337,41,NO
40,112.47851,98,NO
41,97.885056,77,NO
42,128.8413,126,NO
43,78.952675,72,NO
44,142.34882,106,NO
45,39.968967,57,NO
46,60.50942,72,NO
47,89.84478,132,NO
48,24.209728,27,NO
49,124.73612,120,NO
50,5.93064,6,YES
51,134.74982,95,NO
52,12.790593,7,YES
53,25.018726,19,NO
54,8.670799,11,YES
55,154.66684,93,NO
56,51.089554,50,NO
57,7.562683,6,YES
58,150.45422,98,NO
59,1.1059067,3,YES
60,171.49504,127,NO
61,154.40565,231,NO
62,20.541769,21,NO
63,171.49762,159,NO
64,171.45844,176,NO
65,167.63316,237,NO
66,1.9570646,6,YES
67,170.95297,147,NO
68,152.61649,181,NO
69,139.82129,143,NO
70,81.40941,72,NO
71,43.43557,34,NO
72,48.954464,47,NO
73,-0.8374541,0,YES
74,157.16943,147,NO
75,29.289928,42,NO
76,27.724987,15,NO
77,133.57059,117,NO
78,167.77507,153,NO
79,124.779785,100,NO
80,19.493471,16,YES
81,81.162346,67,NO
82,137.7383,128,NO
83,171.2545,219,NO
84,4.9436226,6,YES
85,64.28625,76,NO
86,110.56551,118,NO
87,84.892075,57,NO
88,106.71911,108,NO
89,100.199486,74,NO
90,41.835346,44,NO
91,151.03859,175,NO
92,55.482258,54,NO
93,49.63406,62,NO
94,15.525511,15,YES
95,146.20004,154,NO
96,120.9301,162,NO
97,114.889946,77,NO
98,80.71314,118,NO
99,171.49219,133,NO
100,35.554893,42,NO
101,45.40348,62,NO
102,166.16693,174,NO
103,161.72208,132,NO
104,155.5022,95,NO
105,167.60402,97,NO
